id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
154	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Faculty	7	16	Faculty	16	Male	Unknown	Research University			English 	No	No	None								
155	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Stanford, California	Stanford University	English 	Yes	Yes	None			Stanford	California	US	94305	94305	
156	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Full Professor	25.5	Male	Ivy League	Research University	Cambridge, Massachusetts	Harvard University	Religious Studies	No	No	None			Cambridge	Massachusetts	US	02138	02138	
157	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Science	No	No	None								
158	Faculty	7	16	Lecturer	16.5	Faculty	7	16	Lecturer	16.5	Male	R1	Research University			English 	Unknown	Unknown	None								
159	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Unknown	0	0	Unknown	0	Unknown	Other University	Research University				Unknown	Unknown	Unknown								
160	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Lecturer	16.5	Female	Community College	Other College	(US)		Anthropology	No	No	None					US			
161	Faculty	7	16	Lecturer	16.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			Psychology	Yes	Yes	None								
162	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Sociology	Yes	Yes	None								
163	Graduate Student	4	6	Master Student	6.5	Graduate Student	4	6	Master Student	6.5	Male	Other University	Research University			Education	Yes	Yes	None								
164	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Psychology	Unknown	Unknown	None								
165	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	(US)		Sociology	No	No	None					US			
166	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University	Tucson, Arizona	University of Arizona	History	Yes	Yes	None			Tucson	Arizona	US	85719	85719	
167	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Conference	Conference & Field Work			Criminology	Unknown	Unknown	None								
168	Faculty	7	16	Lecturer	16.5	Faculty	7	16	Lecturer	16.5	Male	R1	Research University	Knoxville, Tennessee	University of Tennessee - Knoxville	History	No	No	None			Knoxville	Tennessee	US	37916	37916	
169	Other	1	0.5	Other	0.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Ivy League	Research University				Yes	Yes	Yes								
170	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	(Russia)		Linguistics	Unknown	Unknown	None					Russia			
171	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Female	R1	Research University			Humanities 	No	No	None								
172	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	Blacksburg, Virginia	Virginia Polytechnic Institute and State University	Sociology	Unknown	Unknown	None			Blacksburg	Virginia	US	24061	24061	
173	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R3	Research University	Savannah, Georgia	Georgia Southern University	Sociology	Yes	Yes	None			Savannah	Georgia	US	30458	30458	
174	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Big Ten	Research University	(US)		Psychology	Unknown	Unknown	Unknown					US			
175	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University				Yes	Yes	Unknown								
176	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Ivy League	Research University	New York, New York	Columbia University	History	No	No	None			New York	New York	US	10027	10027	
177	Graduate Student	4	6	Master Student	6.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R2	Research University	Athens, Ohio	Ohio University	History 	Yes	Yes	None			Athens	Ohio	US	45701	45701	
178	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Regional Teaching College	Other College			Criminal Justice	No	No	None								
179	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Associate Professor	24.5	Female	Other University	Research University	Lecce, Italy	Università del Salento	Archaeology	Yes	Yes	None	Università del Salento		Lecce		Italy		73100	73100
180	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Linguistics	No	No	None								
181	Administration	10	26.5	Administration	26.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Archaeology	Unknown	Unknown	None								
182	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			History 	Unknown	Unknown	None								
183	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Architecture	Yes	Yes	Yes								
184	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			Criminology	Yes	Yes	None								
185	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Science	Unknown	Unknown	Unknown								
186	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Graduate Student	4	6	Graduate Student	6	Male	R2	Research University	Athens, Ohio	Ohio University	History	Unknown	Private	None			Athens	Ohio	US	45701	45701	
187	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Community College	Other College	San Antonio, Texas	San Antonio College	English 	No	No	None			San Antonio	Texas	US	78212	78212	
188	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Community College	Other College	San Antonio, Texas	San Antonio College	English 	No	No	None			San Antonio	Texas	US	78212	78212	
189	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University	Chapel Hill, North Carolina	University of North Carolina - Chapel Hill	Communication 	Unknown	Unknown	None			Chapel Hill	North Carolina	US	27514	27514	
190	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	University of California	Research University	Los Angeles, California	University of California - Los Angeles	Art History	No	No	None			Los Angeles	California	US	90095	90095	
191	Unknown	0	0	Unknown	0	Unknown	0	0	Unknown	0	Male	R2	Research University	Norfolk, Virginia	Old Dominion University	English 	Yes	Yes	None			Norfolk	Virginia	US	23529	23529	
192	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Female	R2	Research University	Norfolk, Virginia	Old Dominion University	English 	No	No	None			Norfolk	Virginia	US	23529	23529	
193	Administration	10	26.5	Administration	26.5	Administration	10	26.5	Administration	26.5	Male	U15	Research University	Montréal, Québec	McGill University	Student Life And Learning	Yes	Yes	None			Montréal	Québec	Canada		H3A	H3A
194	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University			History	Unknown	Unknown	Unknown								
195	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	Youngstown, Ohio	Youngstown State University	Psychology 	Yes	Yes	None			Youngstown	Ohio	US	44502	44502	
196	Faculty	7	16	Lecturer	16.5	Faculty	7	16	Lecturer	16.5	Male	Regional Teaching College	Other College	Long Beach, California	California State University	English 	Unknown	Unknown	None			Long Beach	California	US	90032	90032	
197	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College			English 	No	No	None								
198	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Management	26	Male	R1	Research University	Fairfax, Virginia	George Mason University	History	No	No	None			Fairfax	Virginia	US	22030	22030	
199	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	University of California	Research University	Berkeley, California	University of California - Berkeley	Near Eastern Studies	Yes	Yes	None			Berkeley	California	US	94709	94709	
200	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University			Science	Unknown	Unknown	None								
201	Unknown	0	0	Unknown	0	Unknown	0	0	Unknown	0	Male	Regional Teaching College	Other College				Unknown	Unknown	Unknown								
202	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University			Science	No	No	None								
203	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			Religious Studies	Unknown	Private	None								
204	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College			Religious Studies	No	No	None								
205	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Female	R1	Research University			Science	Unknown	Unknown	None								
206	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Science	Unknown	Unknown	None								
207	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R2	Research University			English	Unknown	Unknown	Unknown								
208	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Art History	Yes	Yes	Yes								
209	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	Copenhagen, Denmark	University of Copenhagen	Law	Unknown	Private	None			Copenhagen		Denmark		1165	1165
210	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Music	Yes	Yes	None								
211	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Humanities 	No	No	None								
212	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University	Austin, Texas	University of Texas - Austin	Classics	No	No	None			Austin	Texas	US	78712	78712	
213	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Lecturer	16.5	Male	Other University	Research University				Unknown	Unknown	Unknown								
214	Faculty	7	16	Faculty	16	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Education	No	Private	None								
215	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College			English, Women's & Gender Studies	Yes	Yes	None								
216	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Notre Dame, Indiana	University of Notre Dame	History	Unknown	Unknown	None			Notre Dame	Indiana	US	46556	46556	
217	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University	Pullman, Washington	Washington State University 	English	Unknown	Unknown	Unknown			Pullman	Washington	US	99163	99163	
218	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			History	Unknown	Unknown	None								
219	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University	Carbondale, Illinois	Southern Illinois University - Carbondale	Ecology	Unknown	Unknown	Unknown			Carbondale	Illinois	US	62901	62901	
220	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Classics	Yes	Yes	Unknown								
221	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Graduate Student	4	6	Graduate Student	6	Male	Other University	Research University			English	No	No	None								
222	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Tempe, Arizona	Arizona State University	English	Unknown	Unknown	Unknown			Tempe	Arizona	US	85281	85281	
223	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			Anthropology, Archaeology	No	No	None								
224	Undergraduate Student	3	2	Undergraduate - Year 3	4.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Chemistry	Unknown	Unknown	None								
225	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University	Greeley, Colorado	University of Northern Colorado	Biology	No	No	None			Greeley	Colorado	US	80631	80631	
226	Tenured Professor	9	24	Tenured Professor	24	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College			English	Yes	Yes	Yes								
227	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Austin, Texas	University of Texas - Austin	English	Yes	Yes	Yes			Austin	Texas	US	78712	78712	
228	Tenured Professor	9	24	Associate Professor	24.5	Administration	10	26.5	Administration	26.5	Male	Conference	Conference & Field Work	Princeton, New Jersey	Princeton Theological Seminary	Biblical Studies 	No	No	None	Princeton Theological Seminary		Princeton	New Jersey	US	08540	08540	
229	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Anthropology	No	No	None								
230	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			English	Unknown	Unknown	None								
231	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Faculty	16	Male	Big Ten	Research University	East Lansing, Michigan	Michigan State University	Sociology	No	No	None			East Lansing	Michigan	US	48910	48910	
232	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Sociology	No	No	None								
233	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	R2	Research University			History	Yes	Yes	None								
234	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University				Yes	Yes	None								
235	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	R2	Research University			English	No	No	None								
236	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Music	No	No	None								
237	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	University of California	Research University	(California)	University of California	Philosophy	Unknown	Unknown	None				California	US			
